TARGET,GPS_WEEKS,GPS_SECONDS,GPS_FRAC_SECS,ECEF_X,ECEF_Y,ECEF_Z,VEL_X,VEL_Y,VEL_Z
gps,4,221527,0.188,211400,6009000,-3339000,-4827,2796,4725
gps,4,221587,0.188,-290.8,6126000,-3128000,-4816,2501,4899
gps,4,221647,0.188,-331900,6282000,-2781000,-4779,2027,5149
gps,4,221707,0.188,-541400,6365000,-2551000,-4744,1718,5293
gps,4,221767,0.188,-809700,6451000,-2245000,-4684,1312,5460
gps,4,221827,0.188,-1080000,6515000,-1923000,-4608,892.1,5608
gps,4,221887,0.188,-1340000,6554000,-1600000,-4518,475.7,5731
gps,4,221947,0.188,-1541000,6568000,-1340000,-4437,144.9,5813
gps,4,222007,0.188,-1791000,6564000,-1007000,-4322,-275,5894
gps,4,222067,0.188,-2033000,6537000,-668800,-4193,-695.1,5953
gps,4,222127,0.188,-2276000,6483000,-316400,-4046,-1128,5989
gps,4,222187,0.188,-2464000,6422000,-34660,-3918,-1471,5999
gps,4,222247,0.188,-2682000,6326000,307100,-3753,-1882,5989
gps,4,222307,0.188,-2899000,6202000,659600,-3570,-2302,5954
gps,4,222367,0.188,-3093000,6063000,991500,-3386,-2692,5898
gps,4,222427,0.188,-3278000,5901000,1320000,-3192,-3074,5818
gps,4,222487,0.188,-3454000,5715000,1648000,-2985,-3453,5715
gps,4,222547,0.188,-3584000,5553000,1903000,-2816,-3743,5617
gps,4,222607,0.188,-3741000,5325000,2225000,-2590,-4105,5470
gps,4,222667,0.188,-3875000,5095000,2516000,-2372,-4429,5313
gps,4,222727,0.188,-4001000,4838000,2809000,-2141,-4749,5130
gps,4,222787,0.188,-4117000,4558000,3096000,-1899,-5059,4924
gps,4,222847,0.188,-4200000,4320000,3318000,-1701,-5296,4744
gps,4,222907,0.188,-4291000,4005000,3586000,-1446,-5578,4498
gps,4,222967,0.188,-4366000,3679000,3835000,-1193,-5834,4239
gps,4,223027,0.188,-4429000,3328000,4077000,-927.3,-6077,3953
gps,4,223087,0.188,-4466000,3050000,4250000,-723.6,-6246,3723
gps,4,223147,0.188,-4504000,2631000,4484000,-423.7,-6470,3370
gps,4,223207,0.188,-4518000,2336000,4630000,-219,-6604,3119
gps,4,223267,0.188,-4523000,1962000,4796000,35.35,-6750,2796
gps,4,223327,0.188,-4514000,1581000,4943000,287.9,-6872,2461
gps,4,223387,0.188,-4496000,1263000,5050000,494.8,-6955,2180
gps,4,223447,0.188,-4452000,786200,5183000,797.1,-7046,1754
gps,4,223507,0.188,-4412000,468800,5256000,993,-7087,1466
gps,4,223567,0.188,-4347000,56530,5330000,1243,-7115,1090
gps,4,223627,0.188,-4268000,-356300,5382000,1488,-7116,708.9
gps,4,223687,0.188,-4178000,-753900,5411000,1718,-7091,338.6
gps,4,223747,0.188,-4093000,-1087000,5420000,1907,-7050,26.69
gps,4,223807,0.188,-3959000,-1549000,5407000,2164,-6964,-411.2
gps,4,223867,0.188,-3853000,-1874000,5381000,2340,-6881,-721.8
gps,4,223927,0.188,-3703000,-2290000,5324000,2560,-6748,-1122
gps,4,223987,0.188,-3601000,-2551000,5276000,2695,-6648,-1375
gps,4,224047,0.188,-3459000,-2887000,5197000,2866,-6500,-1702
gps,4,224107,0.188,-3302000,-3227000,5098000,3036,-6324,-2037
gps,4,224167,0.188,-3102000,-3624000,4955000,3228,-6086,-2431
gps,4,224227,0.188,-2934000,-3929000,4823000,3370,-5876,-2736
gps,4,224287,0.188,-2766000,-4212000,4682000,3500,-5657,-3022
